customer_id,customer_type,age,gender,income_bracket,location
1,Personal,54,Male,Medium,London
2,Personal,57,Male,Low,Leeds
3,Business,25,Female,Medium,Manchester
4,Personal,51,Male,Low,Manchester
5,Personal,55,Male,Medium,London
6,Personal,73,Male,Medium,Birmingham
7,Personal,27,Female,Medium,Manchester
8,Personal,36,Female,Medium,Leeds
9,Business,48,Male,Medium,Glasgow
10,Personal,57,Male,Low,Manchester
11,Personal,57,Male,High,London
12,Business,23,Female,Low,Leeds
13,Personal,71,Female,Medium,Manchester
14,Personal,58,Female,High,Leeds
15,Business,63,Female,Low,Manchester
16,Personal,56,Female,Medium,London
17,Business,30,Male,High,London
18,Business,44,Male,Medium,Birmingham
19,Personal,38,Female,Medium,Leeds
20,Business,33,Female,Low,London
21,Business,57,Male,Low,London
22,Business,37,Male,Medium,London
23,Corporate,27,Male,Medium,Manchester
24,Corporate,27,Male,High,London
25,Personal,69,Male,Medium,Birmingham
26,Business,29,Male,Medium,Glasgow
27,Business,22,Male,Low,Leeds
28,Business,42,Male,High,London
29,Corporate,45,Female,Medium,Manchester
30,Personal,55,Female,Low,Glasgow
31,Personal,59,Male,Low,London
32,Personal,68,Male,Low,Birmingham
33,Personal,52,Female,Low,Glasgow
34,Business,25,Male,High,Birmingham
35,Personal,24,Female,Medium,Leeds
36,Personal,74,Female,High,Manchester
37,Personal,47,Male,Low,Leeds
38,Personal,55,Female,Medium,Leeds
39,Personal,39,Male,Low,Leeds
40,Personal,22,Male,High,Leeds
41,Corporate,29,Female,Low,Birmingham
42,Personal,64,Female,Low,Birmingham
43,Personal,26,Female,Low,Glasgow
44,Personal,69,Female,Medium,Glasgow
45,Personal,42,Female,Low,London
46,Personal,57,Female,Medium,London
47,Personal,33,Male,Medium,Glasgow
48,Personal,68,Female,Low,Glasgow
49,Business,34,Male,High,Birmingham
50,Personal,51,Female,Medium,Leeds
51,Personal,25,Female,Low,Manchester
52,Personal,77,Male,Low,London
53,Personal,28,Female,Medium,Manchester
54,Personal,32,Female,Low,London
55,Personal,49,Male,Medium,Glasgow
56,Personal,58,Male,Low,Birmingham
57,Personal,48,Female,High,Birmingham
58,Business,41,Male,Medium,Birmingham
59,Corporate,53,Male,Medium,Birmingham
60,Personal,32,Male,Low,London
61,Business,69,Male,Low,Birmingham
62,Personal,60,Male,Low,Birmingham
63,Business,28,Male,Medium,Glasgow
64,Personal,18,Male,Low,Leeds
65,Personal,31,Female,Low,Glasgow
66,Business,59,Male,Medium,Manchester
67,Personal,66,Female,Medium,Glasgow
68,Business,42,Male,Medium,Leeds
69,Personal,20,Female,Low,London
70,Business,72,Female,Low,Birmingham
71,Personal,47,Male,Medium,Manchester
72,Corporate,77,Male,Low,Birmingham
73,Personal,44,Male,Medium,Glasgow
74,Personal,28,Male,Low,London
75,Business,71,Female,Low,Glasgow
76,Business,78,Male,Low,London
77,Personal,76,Male,High,Manchester
78,Personal,37,Male,Medium,Manchester
79,Personal,76,Male,Low,Leeds
80,Personal,52,Female,Medium,Manchester
81,Business,50,Female,Low,Birmingham
82,Corporate,36,Male,Low,Leeds
83,Personal,67,Male,Medium,Leeds
84,Personal,25,Male,High,Manchester
85,Personal,75,Male,Low,Leeds
86,Business,59,Male,Low,Birmingham
87,Personal,78,Male,High,Glasgow
88,Personal,54,Male,High,Birmingham
89,Personal,45,Female,Low,Manchester
90,Personal,32,Female,Low,Glasgow
91,Personal,22,Male,Medium,Manchester
92,Business,41,Male,Low,Manchester
93,Personal,50,Male,Low,Birmingham
94,Personal,78,Female,Medium,Manchester
95,Personal,29,Female,Medium,London
96,Personal,44,Female,Medium,Glasgow
97,Personal,30,Male,Low,Glasgow
98,Business,30,Female,High,Manchester
99,Personal,27,Male,Medium,London
100,Business,47,Male,Low,London
